# ATLAS3D early-type galaxies: the columns needed for a Faber-Jackson zero-point test.
# Assembled this session from three published sources:
#   Cappellari et al. 2013, MNRAS 432, 1709 (ATLAS3D XV; arXiv:1208.3522 table 1) -> logsig_e, logML_JAM,
#       logRe_maj, logRe, logr12 (all radii in arcsec), logL (L_sun,r), qual
#   Cappellari et al. 2013, MNRAS 432, 1862 (ATLAS3D XX; arXiv:1208.3523 table 1) -> fDM(Re), logML_stars,
#       logML_Salp  (r-band stellar-population M/L for a Salpeter IMF -- the INDEPENDENT stellar mass)
#   VizieR J/MNRAS/413/813/atlas3d (ATLAS3D I) -> Dist (Mpc), KMAG, Virgo flag, T-type
name	logsig_e	logML_JAM	qual	logRe	logr12	logL	fDM_Re	logML_stars	logML_Salp	Dist_Mpc	KMAG	Virgo
IC0560	1.879	0.486	2	1.154	1.248	9.566	0.12	0.429	0.381	27.2	-22.1	0
IC0598	1.996	0.439	2	0.956	1.109	9.828	0.24	0.268	0.364	35.3	-22.6	0
IC0676	1.806	0.550	0	1.396	1.477	9.660	0.20	0.481	0.261	24.6	-22.27	0
IC0719	2.108	0.938	3	1.027	1.155	9.697	0.11	0.833	0.518	29.4	-22.7	0
IC0782	1.870	0.670	1	1.207	1.339	9.645	0.57	0.318	0.510	36.3	-22.02	0
IC1024	1.892	0.696	2	1.078	1.276	9.471	0.15	0.570	0.194	24.2	-21.85	0
IC3631	1.551	-0.155	0	1.062	1.188	9.742	0.00	-0.153	0.109	42.0	-22.01	0
NGC0448	2.047	0.523	2	1.002	1.203	9.919	0.14	0.396	0.673	29.5	-23.02	0
NGC0474	2.160	0.618	1	1.472	1.608	10.314	0.00	0.620	0.724	30.9	-23.91	0
NGC0502	1.989	0.465	1	1.160	1.191	9.952	0.00	0.466	0.725	35.9	-23.05	0
NGC0509	1.852	0.530	0	1.168	1.373	9.512	0.07	0.495	0.388	32.3	-21.89	0
NGC0516	1.843	0.528	2	1.142	1.328	9.609	0.16	0.421	0.573	34.7	-22.21	0
NGC0524	2.343	0.857	0	1.564	1.613	10.544	0.43	0.625	0.840	23.3	-24.71	0
NGC0525	1.902	0.711	1	1.029	1.117	9.457	0.00	0.710	0.706	30.7	-21.86	0
NGC0661	2.251	0.958	1	1.210	1.369	9.974	0.08	0.929	0.754	30.6	-23.19	0
NGC0680	2.262	0.750	1	1.239	1.401	10.276	0.08	0.713	0.739	37.5	-24.17	0
NGC0770	2.038	0.516	0	0.857	1.004	9.767	0.19	0.362	0.696	36.7	-22.57	0
NGC0821	2.254	0.822	2	1.541	1.703	10.273	0.18	0.734	0.773	23.4	-23.99	0
NGC0936	2.225	0.719	2	1.724	1.516	10.594	0.38	0.504	0.824	22.4	-24.85	0
NGC1023	2.222	0.532	3	1.546	1.639	10.287	0.00	0.531	0.827	11.1	-24.01	0
NGC1121	2.225	0.824	2	0.814	0.997	9.737	0.13	0.706	0.786	35.3	-22.7	0
NGC1222	1.958	0.700	0	1.188	1.303	9.804	0.76	0.219	-0.014	33.3	-22.71	0
NGC1248	1.906	0.324	2	1.148	1.026	9.894	0.00	0.326	0.488	30.4	-22.9	0
NGC1266	1.898	0.597	0	1.280	1.376	9.814	0.00	0.598	0.364	29.9	-22.93	0
NGC1289	2.095	0.634	1	1.233	1.407	10.083	0.14	0.577	0.578	38.4	-23.46	0
NGC1665	1.958	0.498	1	1.400	1.445	10.102	0.12	0.450	0.567	37.5	-23.63	0
NGC2481	2.224	0.698	2	0.962	1.146	9.999	0.06	0.642	0.706	32.0	-23.38	0
NGC2549	2.152	0.782	3	1.280	1.475	9.653	0.17	0.666	0.710	12.3	-22.43	0
NGC2577	2.293	0.874	3	1.197	1.242	10.047	0.06	0.843	0.790	30.8	-23.41	0
NGC2592	2.282	0.882	1	1.086	1.182	9.796	0.01	0.882	0.812	25.0	-22.88	0
NGC2594	2.224	0.731	1	0.856	1.011	9.736	0.07	0.659	0.729	35.1	-22.36	0
NGC2679	2.005	0.486	0	1.389	1.537	9.914	0.17	0.423	0.576	31.1	-22.81	0
NGC2685	2.019	0.455	3	1.344	1.488	9.857	0.18	0.327	0.620	16.7	-22.78	0
NGC2695	2.257	0.736	2	1.237	1.235	10.199	0.11	0.672	0.795	31.5	-23.64	0
NGC2698	2.285	0.749	3	1.092	1.227	10.075	0.00	0.749	0.802	27.1	-23.32	0
NGC2699	2.104	0.568	1	1.046	1.099	9.819	0.07	0.538	0.724	26.2	-22.72	0
NGC2764	2.029	0.648	2	1.171	1.267	9.989	0.00	0.649	0.154	39.6	-23.19	0
NGC2768	2.297	0.933	1	1.778	1.976	10.601	0.00	0.933	0.772	21.8	-24.71	0
NGC2778	2.121	0.855	2	1.185	1.169	9.642	0.04	0.842	0.768	22.3	-22.23	0
NGC2824	2.105	0.628	0	0.904	0.977	9.889	0.45	0.262	0.343	40.7	-22.93	0
NGC2852	2.196	0.835	1	0.901	0.977	9.622	0.00	0.834	0.784	28.5	-22.18	0
NGC2859	2.212	0.568	2	1.441	1.578	10.404	0.06	0.546	0.732	27.0	-24.13	0
NGC2880	2.121	0.680	1	1.312	1.346	9.936	0.25	0.580	0.675	21.3	-22.98	0
NGC2950	2.193	0.588	1	1.237	1.361	9.887	0.11	0.539	0.661	14.5	-22.93	0
NGC2962	2.162	0.814	1	1.463	1.611	10.284	0.00	0.813	0.782	34.0	-24.01	0
NGC2974	2.355	0.981	3	1.441	1.424	10.152	0.07	0.950	0.787	20.9	-23.62	0
NGC3032	1.914	0.310	0	1.282	1.363	9.687	0.42	0.164	-0.070	21.4	-22.01	0
NGC3073	1.794	0.249	0	1.304	1.451	9.701	0.44	0.105	-0.145	32.8	-21.78	0
NGC3098	2.101	0.677	0	1.013	1.218	9.815	0.18	0.517	0.612	23.0	-22.72	0
NGC3156	1.837	0.382	1	1.257	1.384	9.690	0.23	0.245	0.132	21.8	-22.15	0
NGC3182	2.052	0.589	0	1.350	1.493	10.100	0.48	0.336	0.606	34.0	-23.19	0
NGC3193	2.252	0.558	2	1.439	1.582	10.595	0.08	0.532	0.794	33.1	-24.63	0
NGC3226	2.183	0.873	2	1.566	1.697	10.120	0.00	0.873	0.784	22.9	-23.24	0
NGC3230	2.256	0.767	2	1.224	1.324	10.345	0.04	0.754	0.795	40.8	-24.18	0
NGC3245	2.248	0.637	3	1.367	1.491	10.173	0.11	0.588	0.727	20.3	-23.69	0
NGC3248	1.944	0.474	2	1.289	1.364	9.805	0.15	0.420	0.527	24.6	-22.43	0
NGC3301	2.045	0.402	3	1.270	1.415	10.078	0.21	0.297	0.448	22.8	-23.28	0
NGC3377	2.108	0.580	1	1.591	1.766	9.888	0.06	0.553	0.731	10.9	-22.76	0
NGC3379	2.269	0.706	3	1.673	1.820	10.209	0.33	0.600	0.838	10.3	-23.8	0
NGC3384	2.140	0.473	3	1.563	1.575	10.091	0.22	0.404	0.724	11.3	-23.52	0
NGC3400	1.888	0.619	2	1.163	1.188	9.512	0.18	0.522	0.687	24.7	-21.82	0
NGC3412	1.967	0.404	1	1.475	1.516	9.758	0.47	0.211	0.648	11.0	-22.55	0
NGC3414	2.277	0.779	1	1.484	1.642	10.326	0.14	0.714	0.826	24.5	-23.98	0
NGC3457	1.861	0.307	0	1.067	1.203	9.534	0.21	0.173	0.517	20.1	-21.89	0
NGC3458	2.182	0.664	2	0.973	1.073	9.952	0.05	0.627	0.767	30.9	-23.12	0
NGC3489	2.005	0.260	2	1.353	1.378	9.927	0.24	0.113	0.394	11.7	-22.99	0
NGC3499	1.856	0.425	0	0.891	0.977	9.489	0.25	0.189	0.449	26.4	-21.88	0
NGC3522	1.993	0.705	0	1.147	1.324	9.600	0.24	0.582	0.648	25.5	-21.67	0
NGC3530	2.068	0.718	0	0.777	0.974	9.573	0.23	0.493	0.695	31.2	-22.0	0
NGC3595	2.129	0.602	1	1.155	1.248	10.064	0.00	0.602	0.749	34.7	-23.28	0
NGC3599	1.804	0.263	0	1.449	1.560	9.732	0.11	0.234	0.467	19.8	-22.22	0
NGC3605	1.923	0.460	1	1.113	1.220	9.542	0.00	0.459	0.668	20.1	-21.83	0
NGC3607	2.315	0.681	2	1.658	1.773	10.661	0.07	0.661	0.799	22.2	-24.74	0
NGC3608	2.228	0.710	0	1.472	1.631	10.246	0.09	0.669	0.829	22.3	-23.65	0
NGC3610	2.260	0.496	3	1.230	1.397	10.248	0.12	0.409	0.566	20.8	-23.69	0
NGC3613	2.294	0.772	2	1.394	1.575	10.456	0.00	0.772	0.761	28.3	-24.26	0
NGC3619	2.157	0.693	1	1.504	1.631	10.212	0.28	0.615	0.693	26.8	-23.57	0
NGC3626	2.118	0.437	1	1.391	1.513	10.102	0.23	0.332	0.261	19.5	-23.3	0
NGC3630	2.195	0.663	3	1.022	1.207	9.957	0.13	0.550	0.745	25.0	-23.16	0
NGC3640	2.246	0.603	2	1.585	1.728	10.620	0.17	0.534	0.722	26.3	-24.6	0
NGC3641	2.150	0.949	0	1.067	0.937	9.543	0.34	0.821	0.773	25.9	-21.85	0
NGC3648	2.224	0.829	2	1.085	1.072	9.910	0.21	0.694	0.807	31.9	-23.06	0
NGC3658	2.101	0.573	3	1.326	1.232	10.109	0.00	0.572	0.721	32.7	-23.45	0
NGC3665	2.335	0.796	2	1.640	1.750	10.760	0.14	0.748	0.764	33.1	-24.92	0
NGC3674	2.268	0.843	2	0.973	1.105	9.984	0.04	0.811	0.809	33.4	-23.23	0
NGC3694	1.941	0.565	0	0.984	0.903	9.750	0.60	0.082	0.437	35.2	-22.35	0
NGC3757	2.128	0.673	0	0.897	1.022	9.631	0.20	0.610	0.705	22.6	-22.15	0
NGC3796	1.916	0.460	0	1.051	1.195	9.527	0.34	0.243	0.387	22.7	-21.84	0
NGC3838	2.125	0.589	2	0.974	1.150	9.772	0.00	0.589	0.694	23.5	-22.52	0
